hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc500,poc1000new,poc500new,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,poc2500,poc1000,income.med1000diff,income.med2500diff,link,link.se,pred,lcl,ucl,var,value.poc,value.income
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.614978012,0,0,-1.252328199,0,0,0,0,0,0,0,0.614978012,0.614978012,-1.252328199,-1.252328199,3.377882982,0.050928113,29.30865844,26.47039015,32.45125797,minority-income,0.7,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.66719633,0,0,-1.252328199,0,0,0,0,0,0,0,0.66719633,0.66719633,-1.252328199,-1.252328199,3.380493077,0.050785025,29.38525674,26.54716671,32.52675975,minority-income,0.725,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.719414648,0,0,-1.252328199,0,0,0,0,0,0,0,0.719414648,0.719414648,-1.252328199,-1.252328199,3.383138778,0.05066894,29.46310429,26.6236761,32.60535889,minority-income,0.75,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.771632966,0,0,-1.252328199,0,0,0,0,0,0,0,0.771632966,0.771632966,-1.252328199,-1.252328199,3.385820086,0.050584886,29.54220994,26.69964621,32.68740571,minority-income,0.775,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.823851284,0,0,-1.252328199,0,0,0,0,0,0,0,0.823851284,0.823851284,-1.252328199,-1.252328199,3.388537,0.050538409,29.62258271,26.7747742,32.77328877,minority-income,0.8,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.876069602,0,0,-1.252328199,0,0,0,0,0,0,0,0.876069602,0.876069602,-1.252328199,-1.252328199,3.39128952,0.050535538,29.70423179,26.84872796,32.86343352,minority-income,0.825,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.92828792,0,0,-1.252328199,0,0,0,0,0,0,0,0.92828792,0.92828792,-1.252328199,-1.252328199,3.394077647,0.050582741,29.78716651,26.92114843,32.9583001,minority-income,0.85,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.980506238,0,0,-1.252328199,0,0,0,0,0,0,0,0.980506238,0.980506238,-1.252328199,-1.252328199,3.39690138,0.050686861,29.87139638,26.99165265,33.05838043,minority-income,0.875,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,1.032724556,0,0,-1.252328199,0,0,0,0,0,0,0,1.032724556,1.032724556,-1.252328199,-1.252328199,3.399760719,0.050855046,29.95693106,27.05983776,33.16419436,minority-income,0.9,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,1.084942874,0,0,-1.252328199,0,0,0,0,0,0,0,1.084942874,1.084942874,-1.252328199,-1.252328199,3.402655664,0.051094657,30.0437804,27.12528585,33.27628492,minority-income,0.925,-55
